height,weight,rank
168,77,2nd
202,93,1st
144,83,5th
203,110,2nd
181,105,3rd
139,56,6th
136,76,6th
186,100,2nd
152,104,4th
178,109,3rd
142,100,5th
139,75,6th
202,50,4th
190,61,3rd
145,59,5th
144,48,5th
156,74,4th
143,48,5th
139,72,6th
201,110,2nd
151,84,4th
174,104,3rd
155,81,4th
184,60,3rd
172,86,2nd
192,91,1st
178,104,3rd
201,57,4th
183,95,2nd
206,84,4th
140,93,6th
172,70,1st
161,99,4th
174,74,1st
182,68,1st
161,82,3rd
193,54,4th
145,73,5th
191,94,2nd
142,64,5th
191,73,1st
172,72,1st
184,96,2nd
158,104,4th
165,98,4th
191,53,4th
183,69,1st
154,99,4th
149,70,4th
191,97,2nd
175,101,3rd
187,103,2nd
178,93,2nd
169,77,2nd
139,59,6th
146,46,4th
154,82,4th
203,74,3rd
202,96,1st
142,52,5th
169,67,1st
187,71,1st
179,67,1st
184,49,4th
206,53,4th
194,53,4th
148,76,4th
186,45,4th
200,85,1st
138,83,6th
183,91,2nd
138,46,6th
191,76,1st
206,69,4th
151,71,4th
140,65,6th
153,65,4th
206,95,4th
172,87,2nd
198,64,3rd
190,76,1st
151,61,4th
203,59,4th
174,105,3rd
176,57,3rd
170,50,3rd
153,57,4th
148,86,4th
178,63,2nd
151,95,4th
152,73,4th
167,100,4th
175,108,4th
136,109,6th
199,86,1st
153,52,4th
153,97,4th
179,77,1st
186,60,3rd
190,52,4th
145,69,5th
205,87,4th
167,82,2nd
175,52,3rd
141,92,5th
201,98,1st
163,78,2nd
190,48,4th
145,73,5th
187,97,2nd
151,57,4th
161,76,2nd
151,49,4th
194,71,2nd
148,79,4th
145,96,5th
180,55,3rd
136,70,6th
139,102,6th
170,72,1st
203,59,4th
146,99,4th
148,55,4th
201,57,4th
149,54,4th
179,80,1st
166,100,4th
157,76,4th
141,101,5th
165,53,2nd
149,66,4th
195,57,4th
160,105,4th
205,70,4th
174,96,3rd
191,51,4th
139,84,6th
146,56,4th
148,70,4th
151,90,4th
166,99,4th
143,110,5th
148,53,4th
148,104,4th
151,86,4th
193,57,4th
156,52,4th
203,88,1st
194,49,4th
157,66,4th
157,80,4th
202,73,3rd
169,53,2nd
172,99,3rd
141,96,5th
190,62,3rd
192,73,2nd
203,89,1st
151,110,4th
180,48,4th
152,46,4th
182,106,3rd
195,46,4th
136,109,6th
174,49,3rd
139,48,6th
180,52,3rd
161,81,3rd
157,70,4th
153,67,4th
170,78,2nd
175,102,3rd
176,86,2nd
174,71,1st
160,49,2nd
176,51,3rd
154,92,4th
160,49,2nd
196,87,1st
154,59,4th
177,75,1st
150,97,4th
203,105,2nd
180,83,2nd
201,88,1st
177,48,4th
182,57,3rd
168,74,2nd
160,51,2nd
138,93,6th
155,61,4th
203,104,2nd
150,106,4th
147,62,4th
183,47,4th
159,110,4th
155,50,4th
181,46,4th
167,62,1st
162,69,2nd
197,108,2nd
175,95,3rd
196,64,3rd
152,79,4th
184,87,2nd
201,51,4th
202,58,4th
169,49,3rd
190,76,1st
145,49,5th
145,84,5th
139,97,6th
158,56,4th
144,59,5th
145,96,5th
201,72,3rd
146,48,4th
169,93,3rd
135,45,6th
161,67,2nd
185,68,2nd
148,108,4th
168,79,2nd
180,58,3rd
195,98,2nd
136,65,6th
158,58,4th
194,74,2nd
182,109,3rd
197,46,4th
205,46,4th
203,107,2nd
199,80,1st
182,103,3rd
157,107,4th
163,96,4th
138,63,6th
157,49,4th
205,105,4th
157,55,4th
175,68,1st
157,90,4th
149,47,4th
146,52,4th
180,65,1st
147,54,4th
198,59,4th
191,83,1st
170,88,3rd
149,83,4th
205,72,4th
172,65,1st
196,57,4th
179,73,1st
145,86,5th
149,91,4th
154,108,4th
165,53,2nd
151,69,4th
166,80,2nd
186,85,1st
137,58,6th
141,65,5th
173,101,3rd
189,58,3rd
185,76,1st
183,52,4th
152,91,4th
168,106,4th
167,97,3rd
192,108,2nd
153,57,4th
172,78,2nd
206,83,4th
203,85,1st
194,49,4th
175,107,3rd
153,99,4th
193,72,2nd
160,88,3rd
192,59,3rd
190,63,3rd
152,58,4th
202,96,1st
155,83,4th
136,45,6th
153,51,4th
164,80,2nd
138,45,6th
202,70,3rd
195,81,1st
153,54,4th
135,45,6th
180,108,3rd
205,52,4th
185,55,3rd
182,55,3rd
162,47,3rd
152,70,4th
188,46,4th
146,88,4th
159,45,3rd
172,63,1st
141,83,5th
162,97,4th
176,88,2nd
140,74,6th
191,48,4th
193,62,3rd
145,96,5th
173,62,1st
150,72,4th
145,86,5th
196,61,4th
150,70,4th
146,52,4th
198,60,4th
186,96,2nd
169,62,1st
162,76,2nd
169,109,4th
185,90,2nd
189,94,2nd
184,91,2nd
145,57,5th
147,74,4th
155,72,4th
169,67,1st
193,101,2nd
183,94,2nd
168,100,4th
152,47,4th
187,76,1st
152,96,4th
187,66,2nd
181,91,2nd
191,55,4th
156,108,4th
163,94,4th
201,60,4th
186,79,1st
205,63,4th
159,67,2nd
143,58,5th
194,104,2nd
185,89,2nd
185,60,3rd
142,101,5th
203,107,2nd
187,73,1st
138,94,6th
179,99,3rd
198,73,2nd
137,61,6th
155,92,4th
171,81,2nd
173,98,3rd
201,75,2nd
150,99,4th
153,53,4th
204,82,4th
193,95,2nd
152,65,4th
192,66,3rd
170,79,2nd
171,68,1st
156,63,4th
155,61,4th
174,109,4th
187,55,4th
154,85,4th
183,55,3rd
199,74,2nd
150,99,4th
176,81,2nd
147,68,4th
135,62,6th
160,54,1st
138,60,6th
186,104,3rd
148,79,4th
173,88,2nd
188,93,2nd
156,73,4th
159,79,3rd
183,96,2nd
193,56,4th
192,59,3rd
159,80,3rd
155,93,4th
166,56,1st
204,79,4th
160,90,4th
140,91,6th
163,84,3rd
197,60,4th
188,80,1st
177,85,2nd
162,75,2nd
156,75,4th
190,97,2nd
161,100,4th
193,92,1st
146,49,4th
136,97,6th
174,107,4th
155,72,4th
196,97,2nd
170,92,3rd
153,84,4th
188,75,1st
147,80,4th
140,88,6th
174,105,3rd
205,57,4th
187,77,1st
194,102,2nd
153,69,4th
179,95,2nd
135,104,6th
162,98,4th
148,58,4th
135,64,6th
136,56,6th
170,57,2nd
158,81,4th
177,49,4th
151,77,4th
198,88,1st
149,107,4th
198,48,4th
197,66,3rd
150,58,4th
161,52,1st
193,52,4th
200,51,4th
190,108,2nd
144,51,5th
178,92,2nd
158,102,4th
138,94,6th
162,109,4th
181,105,3rd
174,58,2nd
147,55,4th
189,99,2nd
167,71,2nd
150,69,4th
200,102,2nd
162,58,1st
141,51,5th
165,102,4th
135,62,6th
166,96,3rd
173,95,3rd
136,95,6th
180,64,2nd
197,79,1st
184,84,1st
196,47,4th
135,57,6th
183,88,2nd
175,90,2nd
195,86,1st
137,75,6th
137,76,6th
191,87,1st
146,107,4th
163,82,3rd
137,57,6th
172,63,1st
135,67,6th
179,69,1st
146,100,4th
148,67,4th
179,47,4th
196,59,4th
180,84,2nd
163,65,1st
164,58,1st
203,96,1st
191,58,4th
186,74,1st
156,96,4th
205,78,4th
195,57,4th
143,76,5th
164,104,4th
183,59,3rd
147,46,4th
180,68,1st
138,81,6th
205,108,4th
159,46,3rd
152,63,4th
173,82,2nd
148,76,4th
137,105,6th
201,58,4th
167,52,2nd
155,72,4th
139,91,6th
189,100,2nd
202,66,3rd
180,106,3rd
175,94,3rd
204,90,4th
202,59,4th
186,110,3rd
197,76,2nd
173,102,3rd
163,71,2nd
162,96,4th
163,94,4th
202,103,2nd
182,104,3rd
163,89,3rd
147,83,4th
143,61,5th
193,109,2nd
204,78,4th
144,66,5th
141,91,5th
163,98,4th
149,77,4th
205,93,4th
168,83,2nd
145,83,5th
202,110,2nd
147,65,4th
147,49,4th
206,94,4th
203,69,3rd
183,103,3rd
196,53,4th
196,61,4th
185,84,1st
172,60,1st
163,57,1st
188,71,1st
172,99,3rd
161,54,1st
197,90,1st
190,108,2nd
195,45,4th
178,78,1st
156,87,4th
196,62,3rd
139,95,6th
164,72,2nd
192,91,1st
180,85,2nd
190,50,4th
164,108,4th
168,93,3rd
202,95,1st
165,69,2nd
149,98,4th
146,64,4th
147,99,4th
165,98,4th
198,66,3rd
163,53,2nd
168,64,1st
156,97,4th
170,78,2nd
163,102,4th
186,51,4th
188,64,3rd
182,57,3rd
160,66,2nd
178,92,2nd
139,109,6th
166,106,4th
172,45,4th
158,52,4th
191,55,4th
171,81,2nd
179,67,1st
197,46,4th
162,45,3rd
172,72,1st
140,81,6th
144,79,5th
153,105,4th
183,106,3rd
164,65,1st
175,52,3rd
177,61,2nd
138,80,6th
162,73,2nd
163,47,3rd
163,96,4th
157,61,4th
166,60,1st
186,63,3rd
150,98,4th
181,64,2nd
172,76,2nd
183,67,1st
150,90,4th
146,92,4th
188,67,2nd
141,101,5th
136,66,6th
148,80,4th
179,92,2nd
159,80,3rd
176,53,3rd
164,106,4th
166,49,3rd
167,100,4th
200,49,4th
206,101,4th
135,86,6th
194,99,2nd
183,105,3rd
145,97,5th
137,83,6th
206,55,4th
186,102,2nd
167,45,3rd
162,56,1st
137,73,6th
199,72,3rd
173,103,3rd
156,95,4th
163,54,1st
181,48,4th
154,73,4th
177,69,1st
206,54,4th
174,77,2nd
136,87,6th
194,107,2nd
144,80,5th
144,72,5th
201,64,4th
156,80,4th
195,83,1st
164,45,3rd
199,82,1st
168,86,3rd
194,66,3rd
143,47,5th
141,62,5th
162,82,3rd
138,96,6th
151,97,4th
158,93,4th
156,98,4th
162,71,2nd
194,68,3rd
145,79,5th
137,79,6th
157,98,4th
152,57,4th
135,62,6th
172,48,3rd
187,92,2nd
135,98,6th
189,72,1st
205,60,4th
152,80,4th
170,100,3rd
205,78,4th
189,81,1st
170,80,2nd
172,104,4th
156,110,4th
163,73,2nd
139,109,6th
141,90,5th
199,79,2nd
155,105,4th
198,71,3rd
197,52,4th
179,70,1st
206,50,4th
152,108,4th
193,50,4th
136,78,6th
166,56,1st
136,68,6th
161,53,1st
186,82,1st
147,76,4th
145,65,5th
137,104,6th
182,96,2nd
155,54,4th
152,50,4th
178,80,2nd
157,74,4th
189,66,3rd
197,96,1st
140,61,6th
138,87,6th
195,65,3rd
151,108,4th
160,88,3rd
162,94,4th
169,108,4th
190,110,3rd
188,48,4th
161,50,2nd
173,85,2nd
152,93,4th
187,102,2nd
176,99,3rd
150,85,4th
204,49,4th
181,48,4th
190,104,2nd
181,108,3rd
151,103,4th
158,90,4th
198,81,1st
143,86,5th
202,85,1st
150,94,4th
166,104,4th
147,69,4th
140,108,6th
199,91,1st
189,76,1st
183,56,3rd
180,67,1st
205,89,4th
175,96,3rd
152,101,4th
175,69,1st
143,96,5th
172,45,4th
205,99,4th
174,83,2nd
176,53,3rd
205,71,4th
165,85,3rd
198,71,3rd
142,53,5th
166,63,1st
198,109,2nd
144,93,5th
200,77,2nd
181,87,2nd
150,72,4th
169,95,3rd
193,69,2nd
150,88,4th
192,74,1st
176,106,3rd
175,49,3rd
186,64,3rd
146,103,4th
195,80,1st
198,52,4th
193,96,2nd
138,63,6th
204,51,4th
206,105,4th
160,55,1st
193,52,4th
152,46,4th
141,92,5th
185,88,2nd
135,46,6th
155,65,4th
162,52,2nd
143,74,5th
135,50,6th
188,68,2nd
161,107,4th
155,81,4th
169,93,3rd
151,83,4th
200,93,1st
166,71,2nd
136,93,6th
149,65,4th
168,81,2nd
147,104,4th
142,51,5th
170,110,4th
183,102,3rd
195,56,4th
169,96,3rd
159,64,2nd
189,72,1st
205,95,4th
149,48,4th
177,73,1st
148,93,4th
194,86,1st
206,64,4th
175,87,2nd
169,97,3rd
158,86,4th
191,69,2nd
170,63,1st
167,106,4th
166,87,3rd
177,88,2nd
154,58,4th
194,77,1st
150,74,4th
182,71,1st
162,96,4th
199,102,2nd
198,101,2nd
140,61,6th
172,53,3rd
199,89,1st
172,92,3rd
165,51,2nd
204,109,4th
150,67,4th
160,71,2nd
197,64,3rd
175,102,3rd
192,106,2nd
177,75,1st
180,94,2nd
135,80,6th
192,68,3rd
183,69,1st
177,72,1st
187,87,1st
152,59,4th
166,110,4th
185,91,2nd
163,103,4th
183,83,1st
150,90,4th
157,93,4th
178,73,1st
206,65,4th
168,56,2nd
205,107,4th
196,55,4th
157,63,4th
158,62,4th
162,88,3rd
193,89,1st
140,106,6th
136,81,6th
142,62,5th
154,108,4th
161,58,1st
175,103,3rd
169,93,3rd
149,96,4th
140,104,6th
146,94,4th
147,103,4th
161,99,4th
205,70,4th
157,81,4th
179,65,1st
193,100,2nd
199,100,2nd
194,53,4th
184,66,2nd
159,56,1st
184,102,3rd
198,98,1st
162,87,3rd
140,69,6th
186,105,3rd
202,72,3rd
182,106,3rd
182,51,4th
149,97,4th
137,105,6th
147,101,4th
150,52,4th
203,45,4th
188,99,2nd
168,89,3rd
144,91,5th
203,56,4th
166,98,4th
143,67,5th
187,94,2nd
158,68,4th
193,95,2nd
159,50,2nd
159,85,3rd
163,108,4th
146,83,4th
148,86,4th
196,100,2nd
162,96,4th
175,81,2nd
193,83,1st
180,104,3rd
156,70,4th
204,53,4th
173,52,3rd
143,77,5th
204,46,4th
173,97,3rd
196,89,1st
176,63,1st
197,56,4th
191,66,3rd
165,98,4th
202,89,1st
147,83,4th
185,71,1st
163,109,4th
171,108,4th
145,67,5th
169,71,1st
179,63,2nd
139,71,6th
200,68,3rd
177,89,2nd
188,79,1st
197,45,4th
172,68,1st
186,109,3rd
175,105,3rd
203,60,4th
164,97,4th
162,58,1st
137,75,6th
174,81,2nd
153,60,4th
163,103,4th
139,109,6th
153,94,4th
161,48,2nd
173,52,3rd
138,56,6th
204,71,4th
138,65,6th
170,48,3rd
197,80,1st
176,69,1st
171,47,3rd
206,94,4th
155,85,4th
135,105,6th
141,104,5th
184,86,2nd
202,74,3rd
156,82,4th
204,59,4th
156,53,4th
193,82,1st
206,67,4th
179,48,4th
144,94,5th
181,106,3rd
179,52,3rd
170,96,3rd
164,91,3rd
180,70,1st
175,74,1st
197,108,2nd
175,106,3rd
198,98,1st
198,100,2nd
151,74,4th
145,47,5th
158,93,4th
178,94,2nd
173,78,2nd
199,102,2nd
206,95,4th
144,97,5th
140,65,6th
191,82,1st
148,100,4th
202,99,1st
181,98,2nd
192,106,2nd
148,45,4th
179,107,3rd
164,51,2nd
197,52,4th
160,53,1st
197,94,1st
153,107,4th
140,92,6th
135,46,6th
186,67,2nd
163,68,2nd
151,77,4th
147,57,4th
179,110,3rd
143,100,5th
188,45,4th
170,97,3rd
175,95,3rd
148,77,4th
179,55,3rd
185,101,2nd
145,65,5th
144,106,5th
164,69,2nd
175,110,4th
146,88,4th
161,62,1st
196,85,1st
140,88,6th
140,52,6th
184,50,4th
184,89,2nd
157,68,4th
137,79,6th
199,100,2nd
191,51,4th
193,86,1st
157,83,4th
147,104,4th
143,52,5th
201,63,4th
196,92,1st
193,86,1st
198,65,3rd
171,87,2nd
193,85,1st
173,108,4th
155,53,4th
176,57,3rd
158,70,4th
181,90,2nd
182,78,1st
147,60,4th
195,92,1st
197,55,4th
203,104,2nd
184,47,4th
198,46,4th
182,104,3rd
168,83,2nd
146,105,4th
195,107,2nd
189,58,3rd
202,76,2nd
143,90,5th
155,97,4th
190,63,3rd
147,109,4th
205,109,4th
176,89,2nd
153,59,4th
196,84,1st
172,96,3rd
187,76,1st
151,46,4th
201,102,2nd
176,84,2nd
144,81,5th
195,73,2nd
159,89,4th
151,46,4th
142,53,5th
200,103,2nd
156,62,4th
141,70,5th
155,81,4th
198,57,4th
205,106,4th
176,69,1st
161,86,3rd
194,78,1st
186,93,2nd
171,61,1st
142,74,5th
138,63,6th
153,66,4th
204,52,4th
176,87,2nd
148,66,4th
158,96,4th
176,95,3rd
136,91,6th
141,76,5th
202,59,4th
183,46,4th
135,100,6th
201,58,4th
142,95,5th
142,58,5th
162,72,2nd
148,50,4th
189,57,4th
157,62,4th
205,79,4th
177,67,1st
136,63,6th
195,106,2nd
184,85,2nd
163,110,4th
184,76,1st
164,50,2nd
159,54,1st
172,109,4th
165,84,3rd
136,61,6th
178,52,3rd
188,47,4th
150,64,4th
152,70,4th
204,45,4th
136,55,6th
170,94,3rd
201,75,2nd
186,77,1st
197,65,3rd
154,74,4th
137,93,6th
187,87,1st
183,77,1st
148,109,4th
188,53,4th
186,67,2nd
164,60,1st
196,77,1st
176,103,3rd
146,61,4th
181,78,1st
172,101,3rd
195,60,4th
174,64,1st
167,71,2nd
187,105,3rd
165,97,4th
205,89,4th
166,97,4th
203,68,3rd
156,104,4th
146,86,4th
159,87,3rd
206,51,4th
174,83,2nd
161,90,3rd
159,66,2nd
180,68,1st
164,57,1st
179,53,3rd
194,46,4th
174,74,1st
178,78,1st
184,76,1st
206,82,4th
182,48,4th
160,63,1st
135,103,6th
166,85,3rd
186,92,2nd
186,73,1st
199,59,4th
194,89,1st
151,92,4th
173,50,3rd
194,90,1st
156,98,4th
187,85,1st
147,100,4th
158,79,4th
157,99,4th
139,90,6th
142,98,5th
176,77,1st
171,101,3rd
179,61,2nd
175,107,3rd
147,77,4th
197,105,2nd
146,53,4th
200,82,1st
137,85,6th
168,78,2nd
180,78,1st
165,101,4th
186,100,2nd
172,59,2nd
164,79,2nd
160,93,4th
138,77,6th
191,75,1st
137,80,6th
136,58,6th
171,80,2nd
159,51,1st
176,58,2nd
198,50,4th
203,74,3rd
138,106,6th
137,49,6th
177,106,3rd
160,62,1st
199,49,4th
205,102,4th
166,108,4th
147,65,4th
204,98,4th
183,104,3rd
171,78,2nd
164,57,1st
179,76,1st
156,92,4th
175,48,4th
181,107,3rd
204,55,4th
165,54,2nd
138,96,6th
202,108,2nd
150,102,4th
138,93,6th
183,106,3rd
193,85,1st
168,63,1st
188,59,3rd
137,98,6th
162,64,1st
184,65,2nd
148,106,4th
149,70,4th
188,77,1st
196,102,2nd
195,99,2nd
172,79,2nd
136,92,6th
152,75,4th
199,75,2nd
138,108,6th
146,46,4th
197,58,4th
179,85,2nd
160,49,2nd
184,107,3rd
189,82,1st
175,62,1st
182,78,1st
148,69,4th
144,60,5th
197,105,2nd
169,70,1st
177,72,1st
192,82,1st
199,81,1st
175,88,2nd
173,60,1st
166,93,3rd
165,107,4th
180,45,4th
187,56,3rd
188,87,1st
174,105,3rd
137,98,6th
184,76,1st
179,75,1st
136,109,6th
196,101,2nd
189,109,3rd
197,90,1st
146,69,4th
141,70,5th
160,74,2nd
174,49,3rd
162,59,1st
174,71,1st
142,69,5th
149,101,4th
181,67,1st
157,72,4th
172,58,2nd
184,85,2nd
201,72,3rd
182,94,2nd
166,45,3rd
169,103,4th
162,105,4th
198,78,2nd
186,94,2nd
203,66,3rd
202,89,1st
149,103,4th
172,77,2nd
203,61,4th
167,109,4th
180,55,3rd
135,53,6th
150,57,4th
193,63,3rd
174,52,3rd
176,68,1st
198,83,1st
163,58,1st
140,94,6th
174,61,1st
170,72,1st
192,100,2nd
192,98,2nd
158,100,4th
184,109,3rd
153,76,4th
156,61,4th
181,97,2nd
158,78,4th
138,63,6th
197,69,3rd
157,93,4th
164,67,1st
153,73,4th
137,56,6th
140,50,6th
176,95,3rd
147,66,4th
138,52,6th
177,105,3rd
196,83,1st
191,51,4th
182,80,1st
188,60,3rd
203,46,4th
152,90,4th
151,107,4th
189,106,2nd
151,99,4th
147,47,4th
186,82,1st
156,96,4th
182,54,3rd
190,67,2nd
179,62,2nd
184,94,2nd
166,71,2nd
195,91,1st
179,92,2nd
136,97,6th
146,53,4th
176,96,3rd
176,70,1st
144,102,5th
165,56,1st
153,84,4th
145,92,5th
136,89,6th
165,108,4th
148,53,4th
143,82,5th
173,50,3rd
160,98,4th
189,69,2nd
161,107,4th
191,50,4th
157,57,4th
159,100,4th
182,51,4th
174,88,2nd
188,95,2nd
179,71,1st
155,80,4th
184,83,1st
182,47,4th
193,105,2nd
136,95,6th
151,72,4th
160,109,4th
189,72,1st
135,88,6th
158,72,4th
205,70,4th
159,52,1st
156,105,4th
138,103,6th
197,103,2nd
202,85,1st
143,79,5th
137,51,6th
148,82,4th
137,59,6th
144,95,5th
185,73,1st
166,83,3rd
137,94,6th
194,71,2nd
166,83,3rd
138,82,6th
143,88,5th
181,65,2nd
147,70,4th
166,88,3rd
182,65,2nd
172,63,1st
151,54,4th
142,70,5th
176,103,3rd
206,81,4th
166,59,1st
182,109,3rd
166,50,3rd
183,93,2nd
170,97,3rd
149,49,4th
136,102,6th
159,51,1st
135,84,6th
194,63,3rd
183,90,2nd
182,61,3rd
153,100,4th
150,89,4th
138,72,6th
194,107,2nd
149,97,4th
178,62,2nd
156,66,4th
191,74,1st
150,65,4th
166,87,3rd
198,57,4th
157,62,4th
197,62,4th
137,82,6th
153,97,4th
154,52,4th
204,48,4th
167,83,2nd
195,79,1st
158,98,4th
139,102,6th
198,64,3rd
157,74,4th
165,69,2nd
152,69,4th
176,74,1st
163,72,2nd
157,84,4th
169,55,2nd
142,80,5th
182,77,1st
191,90,1st
185,104,3rd
205,82,4th
162,51,2nd
198,106,2nd
171,60,1st
158,68,4th
201,102,2nd
144,52,5th
185,69,1st
163,52,2nd
142,46,5th
183,57,3rd
156,101,4th
167,54,2nd
204,57,4th
148,73,4th
158,97,4th
136,82,6th
149,56,4th
176,49,4th
192,70,2nd
151,92,4th
152,63,4th
177,92,2nd
199,49,4th
138,77,6th
183,72,1st
160,92,4th
187,65,2nd
163,74,2nd
198,73,2nd
152,84,4th
154,103,4th
184,73,1st
193,67,3rd
154,45,4th
178,104,3rd
154,56,4th
165,80,2nd
167,65,1st
185,90,2nd
147,74,4th
199,90,1st
178,100,3rd
150,95,4th
148,65,4th
196,66,3rd
206,55,4th
135,60,6th
141,80,5th
188,45,4th
180,58,3rd
148,84,4th
206,49,4th
188,103,2nd
150,87,4th
140,79,6th
148,54,4th
149,48,4th
187,58,3rd
202,61,4th
178,72,1st
171,101,3rd
146,89,4th
175,60,2nd
136,64,6th
192,64,3rd
201,57,4th
199,82,1st
151,71,4th
162,77,2nd
175,88,2nd
139,66,6th
180,50,4th
135,72,6th
200,109,2nd
174,79,2nd
144,50,5th
168,60,1st
196,73,2nd
192,70,2nd
183,47,4th
181,47,4th
162,107,4th
174,53,3rd
143,93,5th
160,49,2nd
145,63,5th
198,90,1st
147,110,4th
158,97,4th
167,86,3rd
193,110,2nd
186,75,1st
187,84,1st
161,93,4th
138,77,6th
189,60,3rd
191,105,2nd
139,50,6th
167,47,3rd
148,101,4th
144,60,5th
162,69,2nd
181,61,2nd
144,104,5th
149,70,4th
141,69,5th
205,85,4th
203,54,4th
200,93,1st
142,87,5th
175,77,2nd
203,75,3rd
186,62,3rd
198,62,4th
184,95,2nd
176,76,1st
172,88,2nd
164,82,3rd
165,73,2nd
201,110,2nd
152,87,4th
161,55,1st
166,86,3rd
170,68,1st
204,67,4th
176,62,1st
158,60,4th
157,65,4th
170,93,3rd
193,101,2nd
177,92,2nd
146,106,4th
162,47,3rd
171,93,3rd
165,73,2nd
190,82,1st
203,48,4th
202,78,2nd
153,57,4th
174,80,2nd
170,55,2nd
196,108,2nd
142,91,5th
148,70,4th
171,47,3rd
165,91,3rd
164,75,2nd
174,86,2nd
198,45,4th
161,85,3rd
199,69,3rd
147,110,4th
177,99,3rd
192,95,2nd
189,109,3rd
152,90,4th
203,109,2nd
204,50,4th
167,109,4th
196,97,2nd
172,49,3rd
195,50,4th
178,63,2nd
174,108,4th
173,79,2nd
163,73,2nd
197,66,3rd
157,89,4th
199,74,2nd
169,56,2nd
198,65,3rd
168,50,3rd
162,52,2nd
196,106,2nd
181,66,1st
172,78,2nd
173,76,2nd
157,73,4th
191,50,4th
192,79,1st
143,65,5th
199,73,3rd
193,60,3rd
158,45,4th
160,86,3rd
169,67,1st
157,89,4th
205,88,4th
180,101,3rd
152,94,4th
191,78,1st
150,81,4th
178,46,4th
161,90,3rd
161,99,4th
150,60,4th
169,78,2nd
182,94,2nd
164,89,3rd
187,93,2nd
190,88,1st
143,49,5th
203,52,4th
174,75,1st
158,110,4th
199,90,1st
196,46,4th
139,84,6th
205,85,4th
171,60,1st
141,84,5th
191,56,4th
206,71,4th
156,62,4th
165,70,2nd
147,75,4th
148,81,4th
145,110,5th
194,78,1st
187,86,1st
189,86,1st
173,89,2nd
189,75,1st
154,93,4th
140,110,6th
135,83,6th
145,103,5th
150,98,4th
181,77,1st
192,100,2nd
153,78,4th
167,100,4th
145,76,5th
174,45,4th
171,74,2nd
173,71,1st
201,81,1st
143,106,5th
200,73,3rd
166,99,4th
199,92,1st
187,90,2nd
198,88,1st
186,65,2nd
155,95,4th
161,67,2nd
140,80,6th
175,70,1st
182,83,2nd
202,85,1st
170,68,1st
185,101,2nd
185,71,1st
201,104,2nd
184,67,2nd
189,104,2nd
182,92,2nd
197,82,1st
206,45,4th
160,109,4th
177,100,3rd
158,93,4th
154,62,4th
177,52,3rd
189,52,4th
196,55,4th
185,48,4th
144,70,5th
167,48,3rd
177,97,3rd
191,74,1st
162,92,4th
179,50,4th
149,55,4th
138,83,6th
167,62,1st
195,55,4th
160,69,2nd
136,67,6th
159,74,2nd
176,69,1st
155,62,4th
152,74,4th
204,57,4th
196,83,1st
195,105,2nd
177,91,2nd
136,94,6th
145,80,5th
142,54,5th
162,85,3rd
143,104,5th
140,93,6th
201,110,2nd
193,61,3rd
158,48,4th
166,47,3rd
195,57,4th
193,96,2nd
158,85,4th
188,86,1st
160,46,3rd
141,97,5th
168,66,1st
144,74,5th
179,90,2nd
150,82,4th
199,83,1st
161,79,3rd
201,110,2nd
173,101,3rd
191,62,3rd
203,75,3rd
137,48,6th
190,58,3rd
139,96,6th
144,106,5th
144,93,5th
135,50,6th
181,108,3rd
137,63,6th
157,95,4th
177,90,2nd
160,98,4th
185,101,2nd
183,92,2nd
147,75,4th
155,103,4th
184,45,4th
184,105,3rd
154,86,4th
198,52,4th
196,66,3rd
203,98,1st
155,77,4th
172,108,4th
162,95,4th
178,67,1st
185,71,1st
175,88,2nd
152,96,4th
135,96,6th
198,70,3rd
163,56,1st
175,67,1st
143,88,5th
153,70,4th
154,98,4th
181,67,1st
178,76,1st
186,70,1st
169,56,2nd
196,96,1st
135,67,6th
149,106,4th
202,53,4th
164,75,2nd
186,90,2nd
150,106,4th
187,74,1st
174,96,3rd
196,102,2nd
154,90,4th
198,48,4th
183,97,2nd
151,64,4th
165,48,3rd
162,62,1st
171,57,2nd
194,106,2nd
181,60,3rd
173,52,3rd
156,106,4th
172,45,4th
175,54,3rd
173,109,4th
152,76,4th
197,69,3rd
165,48,3rd
183,70,1st
199,51,4th
191,105,2nd
181,69,1st
171,90,3rd
205,87,4th
202,61,4th
191,95,2nd
168,83,2nd
171,57,2nd
161,84,3rd
159,48,2nd
140,52,6th
188,67,2nd
184,73,1st
171,68,1st
155,106,4th
136,65,6th
179,102,3rd
154,92,4th
200,93,1st
188,48,4th
167,68,1st
175,102,3rd
186,101,2nd
155,104,4th
179,52,3rd
200,75,2nd
145,85,5th
164,87,3rd
196,71,3rd
159,78,3rd
171,49,3rd
204,110,4th
201,69,3rd
182,98,2nd
175,69,1st
158,69,4th
182,90,2nd
146,109,4th
186,50,4th
137,109,6th
189,58,3rd
193,75,1st
188,69,2nd
196,86,1st
190,108,2nd
183,53,4th
141,79,5th
156,97,4th
169,58,1st
206,75,4th
166,46,3rd
165,77,2nd
205,46,4th
203,49,4th
161,86,3rd
194,78,1st
164,45,3rd
205,105,4th
185,65,2nd
152,107,4th
205,82,4th
198,102,2nd
148,88,4th
175,72,1st
143,72,5th
165,109,4th
203,74,3rd
140,60,6th
137,57,6th
188,73,1st
154,79,4th
183,103,3rd
205,51,4th
168,59,1st
185,57,3rd
191,73,1st
166,51,2nd
199,80,1st
142,58,5th
145,71,5th
200,75,2nd
161,79,3rd
206,61,4th
